Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-2002,Isaiah Rider\rideris01,SG,30,DEN,10,1,173,37,81,0.457,6,15,0.4,31,66,0.47,0.494,13,17,0.765,10,23,33,12,3,2,14,11,93
2001-2002,Clifford Robinson\robincl02,PF,35,DET,80,80,2855,454,1069,0.425,115,304,0.378,339,765,0.443,0.478,143,206,0.694,79,307,386,202,89,95,151,243,1166
2001-2002,David Robinson*\robinda01,C,36,SAS,78,78,2303,341,672,0.507,0,0,,341,672,0.507,0.507,269,395,0.681,191,456,647,94,86,140,104,193,951
2001-2002,Eddie Robinson\robined01,SF,25,CHI,29,12,653,112,247,0.453,2,5,0.4,110,242,0.455,0.457,36,48,0.75,24,54,78,37,23,11,36,35,262
2001-2002,Glenn Robinson\robingl01,SF,29,MIL,66,63,2346,536,1147,0.467,58,178,0.326,478,969,0.493,0.493,236,282,0.837,70,336,406,168,97,41,174,173,1366
2001-2002,Larry Robinson\robinla01,SG,34,NYK,2,0,10,1,4,0.25,1,2,0.5,0,2,0,0.375,0,0,,0,2,2,0,0,0,0,1,3
2001-2002,Carlos Rogers\rogerca01,C,30,IND,22,1,168,24,43,0.558,1,6,0.167,23,37,0.622,0.57,10,19,0.526,14,24,38,3,5,6,5,17,59
2001-2002,Rodney Rogers\rogerro01,SF,30,TOT,77,8,1880,356,756,0.471,88,235,0.374,268,521,0.514,0.529,117,149,0.785,129,219,348,112,66,29,108,226,917
2001-2002,Rodney Rogers\rogerro01,SF,30,PHO,50,7,1254,249,534,0.466,49,140,0.35,200,394,0.508,0.512,82,99,0.828,95,146,241,72,50,17,66,148,629
2001-2002,Rodney Rogers\rogerro01,SF,30,BOS,27,1,626,107,222,0.482,39,95,0.411,68,127,0.535,0.57,35,50,0.7,34,73,107,40,16,12,42,78,288
2001-2002,Sean Rooks\rooksse01,C,32,LAC,61,2,728,81,194,0.418,0,0,,81,194,0.418,0.418,21,29,0.724,32,92,124,25,12,21,20,114,183
2001-2002,Jalen Rose\roseja01,SF,29,TOT,83,83,3153,663,1458,0.455,89,246,0.362,574,1212,0.474,0.485,281,335,0.839,43,330,373,355,78,45,201,251,1696
2001-2002,Jalen Rose\roseja01,SF,29,IND,53,53,1937,387,871,0.444,52,146,0.356,335,725,0.462,0.474,156,186,0.839,29,220,249,197,45,29,105,148,982
2001-2002,Jalen Rose\roseja01,SF,29,CHI,30,30,1216,276,587,0.47,37,100,0.37,239,487,0.491,0.502,125,149,0.839,14,110,124,158,33,16,96,103,714
2001-2002,Malik Rose\rosema01,PF,27,SAS,82,1,1725,293,633,0.463,1,12,0.083,292,621,0.47,0.464,185,257,0.72,172,320,492,61,70,42,140,208,772
2001-2002,Michael Ruffin\ruffimi01,PF,25,PHI,15,0,169,7,26,0.269,0,0,,7,26,0.269,0.269,2,8,0.25,23,28,51,5,5,8,11,23,16
2001-2002,Bryon Russell\russebr01,SG,31,UTA,66,40,1998,222,584,0.38,77,226,0.341,145,358,0.405,0.446,115,140,0.821,79,216,295,136,64,19,110,205,636
2001-2002,Daniel Santiago\santida01,C,25,PHO,3,0,24,4,8,0.5,0,0,,4,8,0.5,0.5,0,0,,0,7,7,2,0,1,2,4,8
2001-2002,Jeryl Sasser\sasseje01,SG,22,ORL,7,0,36,3,14,0.214,0,0,,3,14,0.214,0.214,4,5,0.8,3,4,7,2,3,0,2,3,10
2001-2002,Kenny Satterfield\satteke01,PG,20,DEN,36,4,560,73,199,0.367,7,27,0.259,66,172,0.384,0.384,36,46,0.783,17,35,52,108,31,1,53,43,189
2001-2002,Brian Scalabrine\scalabr01,PF,23,NJN,28,0,290,23,67,0.343,3,10,0.3,20,57,0.351,0.366,11,15,0.733,12,39,51,21,9,2,24,39,60
2001-2002,Shawnelle Scott\scottsh01,C,29,DEN,21,10,252,37,75,0.493,0,0,,37,75,0.493,0.493,8,20,0.4,53,50,103,8,3,6,15,49,82
2001-2002,Ansu Sesay\sesayan01,SF,25,SEA,9,0,142,22,44,0.5,0,0,,22,44,0.5,0.5,14,20,0.7,7,13,20,8,3,2,2,18,58
2001-2002,Brian Shaw\shawbr01,PG,35,LAL,58,0,631,61,173,0.353,29,88,0.33,32,85,0.376,0.436,18,26,0.692,19,93,112,89,25,3,32,43,169
2001-2002,Bobby Simmons\simmobo01,SF,21,WAS,30,3,343,43,95,0.453,4,14,0.286,39,81,0.481,0.474,22,30,0.733,25,27,52,17,13,5,14,31,112
2001-2002,Dickey Simpkins\simpkdi01,PF,29,ATL,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
2001-2002,Brian Skinner\skinnbr01,PF,25,CLE,65,8,1107,88,162,0.543,0,0,,88,162,0.543,0.543,48,79,0.608,93,188,281,17,24,61,42,130,224
2001-2002,Reggie Slater\slatere01,PF,31,TOT,8,0,47,7,15,0.467,0,0,,7,15,0.467,0.467,7,10,0.7,5,4,9,1,1,1,1,3,21
2001-2002,Reggie Slater\slatere01,PF,31,NJN,4,0,10,2,2,1,0,0,,2,2,1,1,1,1,1,0,2,2,0,0,0,1,1,5
2001-2002,Reggie Slater\slatere01,PF,31,ATL,4,0,37,5,13,0.385,0,0,,5,13,0.385,0.385,6,9,0.667,5,2,7,1,1,1,0,2,16
2001-2002,Charles Smith\smithch04,SG,26,SAS,60,22,1141,182,428,0.425,35,131,0.267,147,297,0.495,0.466,42,65,0.646,34,99,133,80,52,44,59,114,441
2001-2002,Jabari Smith\smithja01,C,24,TOT,23,0,181,26,63,0.413,0,3,0,26,60,0.433,0.413,21,32,0.656,8,20,28,11,6,6,5,31,73
2001-2002,Jabari Smith\smithja01,C,24,SAC,12,0,71,6,21,0.286,0,1,0,6,20,0.3,0.286,6,12,0.5,2,12,14,6,2,4,2,12,18
2001-2002,Jabari Smith\smithja01,C,24,PHI,11,0,110,20,42,0.476,0,2,0,20,40,0.5,0.476,15,20,0.75,6,8,14,5,4,2,3,19,55
2001-2002,Joe Smith\smithjo02,C,26,MIN,72,63,1922,297,581,0.511,2,3,0.667,295,578,0.51,0.513,171,206,0.83,152,301,453,82,39,59,86,250,767
2001-2002,Leon Smith\smithle01,C,21,ATL,14,0,100,10,26,0.385,0,0,,10,26,0.385,0.385,11,17,0.647,10,21,31,3,5,1,3,12,31
2001-2002,Steve Smith\smithst01,SG,32,SAS,77,76,2211,310,682,0.455,116,246,0.472,194,436,0.445,0.54,159,181,0.878,45,148,193,151,54,15,108,158,895
2001-2002,Eric Snow\snower01,PG,28,PHI,61,61,2225,276,624,0.442,3,27,0.111,273,597,0.457,0.445,183,227,0.806,33,182,215,400,95,9,138,167,738
2001-2002,Will Solomon\solomwi01,SG,23,MEM,62,4,872,113,331,0.341,46,162,0.284,67,169,0.396,0.411,49,73,0.671,12,56,68,92,35,7,62,76,321
2001-2002,Felton Spencer\spencfe01,C,34,NYK,32,8,248,6,26,0.231,0,0,,6,26,0.231,0.231,17,33,0.515,16,34,50,3,7,8,12,73,29
2001-2002,Latrell Sprewell\sprewla01,SF,31,NYK,81,81,3326,573,1419,0.404,145,403,0.36,428,1016,0.421,0.455,284,346,0.821,59,239,298,313,94,14,223,161,1575
2001-2002,Jerry Stackhouse\stackje01,SF,27,DET,76,76,2685,524,1319,0.397,86,300,0.287,438,1019,0.43,0.43,495,577,0.858,77,238,315,403,77,37,266,163,1629
2001-2002,John Starks\starkjo01,SG,36,UTA,66,1,929,114,310,0.368,29,95,0.305,85,215,0.395,0.415,33,41,0.805,15,53,68,70,33,0,52,126,290
2001-2002,Vladimir Stepania\stepavl01,C,25,MIA,67,4,884,117,249,0.47,1,2,0.5,116,247,0.47,0.472,50,104,0.481,100,170,270,16,24,44,52,103,285
2001-2002,DeShawn Stevenson\stevede01,SG,20,UTA,67,23,1134,143,371,0.385,2,25,0.08,141,346,0.408,0.388,37,53,0.698,44,87,131,116,29,24,68,82,325
2001-2002,Michael Stewart\stewami01,C,26,TOR,11,0,93,8,23,0.348,0,0,,8,23,0.348,0.348,6,11,0.545,12,13,25,3,4,3,4,22,22
2001-2002,Bryant Stith\stithbr01,SG,31,CLE,50,5,665,70,188,0.372,24,68,0.353,46,120,0.383,0.436,44,52,0.846,20,65,85,42,29,6,30,42,208
2001-2002,John Stockton*\stockjo01,PG,39,UTA,82,82,2566,401,775,0.517,25,78,0.321,376,697,0.539,0.534,275,321,0.857,59,204,263,674,152,24,208,209,1102
2001-2002,Peja Stojakovic\stojape01,SF,24,SAC,71,71,2649,547,1130,0.484,129,310,0.416,418,820,0.51,0.541,283,323,0.876,72,301,373,175,81,14,140,120,1506
2001-2002,Damon Stoudamire\stoudda01,PG,28,POR,75,71,2796,369,918,0.402,104,295,0.353,265,623,0.425,0.459,174,196,0.888,78,214,292,490,67,7,149,153,1016
2001-2002,Erick Strickland\stricer01,PG,28,BOS,79,4,1643,190,488,0.389,95,247,0.385,95,241,0.394,0.487,131,155,0.845,22,191,213,184,56,1,94,145,606
2001-2002,Mark Strickland\stricma01,SF,31,ATL,46,10,654,91,204,0.446,1,4,0.25,90,200,0.45,0.449,25,44,0.568,41,90,131,20,19,17,28,48,208
2001-2002,Rod Strickland\stricro02,PG,35,MIA,76,64,2294,316,714,0.443,8,26,0.308,308,688,0.448,0.448,154,201,0.766,49,183,232,463,82,11,159,114,794
2001-2002,Bruno Sundov\sundobr01,C,21,IND,22,0,88,16,40,0.4,0,1,0,16,39,0.41,0.4,0,2,0,7,14,21,3,3,3,4,16,32
2001-2002,Bob Sura\surabo01,PG,28,GSW,78,5,1780,250,590,0.424,42,133,0.316,208,457,0.455,0.459,236,328,0.72,89,167,256,275,88,17,133,160,778
2001-2002,Stromile Swift\swiftst01,PF,22,MEM,68,14,1805,293,611,0.48,0,3,0,293,608,0.482,0.48,217,305,0.711,161,269,430,50,53,113,122,178,803
2001-2002,Wally Szczerbiak\szczewa02,SF,24,MIN,82,82,3117,609,1200,0.508,87,191,0.455,522,1009,0.517,0.544,226,272,0.831,120,271,391,257,66,21,181,188,1531
2001-2002,Jason Terry\terryja01,SG,24,ATL,78,78,2967,524,1219,0.43,172,444,0.387,352,775,0.454,0.5,284,340,0.835,40,230,270,444,144,13,181,156,1504
2001-2002,Etan Thomas\thomaet01,C,23,WAS,47,0,618,81,151,0.536,0,0,,81,151,0.536,0.536,41,74,0.554,55,126,181,6,17,35,26,76,203
2001-2002,Kenny Thomas\thomake01,PF,24,HOU,72,71,2484,396,829,0.478,0,16,0,396,813,0.487,0.478,223,336,0.664,158,358,516,137,85,66,143,195,1015
2001-2002,Kurt Thomas\thomaku01,C,29,NYK,82,82,2771,463,938,0.494,1,6,0.167,462,932,0.496,0.494,216,265,0.815,214,533,747,87,71,79,153,341,1143
2001-2002,Tim Thomas\thomati01,SF,24,MIL,74,22,1987,316,753,0.42,95,291,0.326,221,462,0.478,0.483,142,179,0.793,64,236,300,105,65,32,127,200,869
2001-2002,Jamaal Tinsley\tinslja01,PG,23,IND,80,78,2442,289,760,0.38,42,175,0.24,247,585,0.422,0.408,131,186,0.704,78,220,298,647,138,40,270,248,751
2001-2002,Oscar Torres\torreos01,SG,25,HOU,65,13,1075,135,341,0.396,37,126,0.294,98,215,0.456,0.45,82,105,0.781,47,75,122,40,25,9,49,64,389
2001-2002,Robert Traylor\traylro01,PF,24,CHH,61,1,678,87,204,0.426,1,1,1,86,203,0.424,0.429,53,84,0.631,67,120,187,37,24,37,45,127,228
2001-2002,Gary Trent\trentga01,PF,27,MIN,64,10,1140,193,381,0.507,0,2,0,193,379,0.509,0.507,92,144,0.639,104,166,270,60,21,27,58,160,478
2001-2002,Jeff Trepagnier\trepaje01,SG,22,CLE,12,0,77,7,23,0.304,0,1,0,7,22,0.318,0.304,4,7,0.571,3,9,12,12,8,4,11,8,18
2001-2002,Jake Tsakalidis\tsakaja01,C,22,PHO,67,47,1582,190,400,0.475,0,1,0,190,399,0.476,0.475,111,159,0.698,130,244,374,23,23,69,78,193,491
2001-2002,Hedo Turkoglu\turkohe01,SF,22,SAC,80,10,1970,290,687,0.422,63,171,0.368,227,516,0.44,0.468,167,230,0.726,63,300,363,163,57,31,81,184,810
2001-2002,Nick Van Exel\vanexni01,PG-SG,30,TOT,72,46,2496,501,1226,0.409,119,350,0.34,382,876,0.436,0.457,201,251,0.801,28,226,254,478,44,11,156,104,1322
2001-2002,Nick Van Exel\vanexni01,PG,30,DEN,45,44,1739,372,912,0.408,85,252,0.337,287,660,0.435,0.454,136,174,0.782,19,150,169,365,30,7,116,69,965
2001-2002,Nick Van Exel\vanexni01,SG,30,DAL,27,2,757,129,314,0.411,34,98,0.347,95,216,0.44,0.465,65,77,0.844,9,76,85,113,14,4,40,35,357
2001-2002,Keith Van Horn\vanhoke01,SF,26,NJN,81,81,2465,471,1089,0.433,101,293,0.345,370,796,0.465,0.479,156,195,0.8,137,472,609,164,63,42,146,221,1199
2001-2002,Ratko Varda\vardara01,C,22,DET,1,0,6,2,3,0.667,0,0,,2,3,0.667,0.667,1,1,1,0,1,1,0,0,0,1,3,5
2001-2002,Jacque Vaughn\vaughja01,PG,26,ATL,82,16,1856,206,438,0.47,24,54,0.444,182,384,0.474,0.498,104,126,0.825,18,150,168,349,65,2,112,183,540
2001-2002,Jake Voskuhl\voskuja01,C,24,PHO,59,34,900,107,193,0.554,0,0,,107,193,0.554,0.554,82,109,0.752,103,147,250,18,11,23,48,139,296
2001-2002,Antoine Walker\walkean02,PF,25,BOS,81,81,3406,666,1689,0.394,222,645,0.344,444,1044,0.425,0.46,240,324,0.741,150,564,714,407,122,38,251,237,1794
2001-2002,Samaki Walker\walkesa01,PF,25,LAL,69,63,1655,187,365,0.512,0,0,,187,365,0.512,0.512,86,129,0.667,129,352,481,64,28,88,53,170,460
2001-2002,Ben Wallace\wallabe01,C,27,DET,80,80,2921,255,480,0.531,0,3,0,255,477,0.535,0.531,99,234,0.423,318,721,1039,115,138,278,70,178,609
2001-2002,Gerald Wallace\wallage01,SF,19,SAC,54,1,430,75,175,0.429,0,7,0,75,168,0.446,0.429,23,46,0.5,49,40,89,27,19,6,22,46,173
2001-2002,John Wallace\wallajo01,SF,27,PHO,46,0,490,93,214,0.435,5,13,0.385,88,201,0.438,0.446,40,46,0.87,27,58,85,29,11,9,29,60,231
2001-2002,Rasheed Wallace\wallara01,PF,27,POR,79,79,2963,603,1287,0.469,114,317,0.36,489,970,0.504,0.513,201,274,0.734,136,509,645,152,101,101,131,212,1521
2001-2002,Charlie Ward\wardch01,PG,31,NYK,63,0,1058,113,303,0.373,53,164,0.323,60,139,0.432,0.46,47,58,0.81,15,112,127,203,68,14,75,100,326
2001-2002,Earl Watson\watsoea01,PG,22,SEA,64,0,964,96,212,0.453,16,44,0.364,80,168,0.476,0.491,23,36,0.639,31,52,83,125,60,5,51,93,231
2001-2002,Clarence Weatherspoon\weathcl01,PF,31,NYK,56,41,1728,189,452,0.418,0,0,,189,452,0.418,0.418,116,146,0.795,149,311,460,60,37,48,47,132,494
2001-2002,Chris Webber\webbech01,PF,28,SAC,54,54,2071,532,1075,0.495,5,19,0.263,527,1056,0.499,0.497,253,338,0.749,150,396,546,258,90,76,158,181,1322
2001-2002,Bonzi Wells\wellsbo01,SG,25,POR,74,69,2348,487,1039,0.469,66,172,0.384,421,867,0.486,0.5,215,290,0.741,121,323,444,204,113,25,191,208,1255
2001-2002,David Wesley\wesleda01,SG,31,CHH,67,63,2487,364,910,0.4,85,256,0.332,279,654,0.427,0.447,138,188,0.734,44,99,143,236,74,15,119,147,951
2001-2002,Jahidi White\whiteja01,C,25,WAS,71,69,1346,150,279,0.538,0,0,,150,279,0.538,0.538,83,154,0.539,159,285,444,17,25,75,65,163,383
2001-2002,Rodney White\whitero02,SF,21,DET,16,0,129,21,60,0.35,2,9,0.222,19,51,0.373,0.367,12,14,0.857,2,16,18,12,9,2,14,6,56
2001-2002,Chris Whitney\whitnch01,PG,30,WAS,82,81,2171,274,656,0.418,131,323,0.406,143,333,0.429,0.518,154,175,0.88,11,141,152,314,72,6,85,182,833
2001-2002,Aaron Williams\williaa01,PF,30,NJN,82,13,1546,231,439,0.526,0,2,0,231,437,0.529,0.526,130,186,0.699,115,224,339,77,29,76,79,212,592
2001-2002,Alvin Williams\willial02,PG,27,TOR,82,82,2927,403,971,0.415,62,193,0.321,341,778,0.438,0.447,103,140,0.736,58,223,281,468,135,26,150,191,971
2001-2002,Eric Williams\willier01,SF,29,BOS,74,30,1747,144,385,0.374,24,86,0.279,120,299,0.401,0.405,160,219,0.731,58,163,221,109,77,8,95,179,472
2001-2002,Jason Williams\willija02,PG,26,MEM,65,65,2236,376,985,0.382,127,430,0.295,249,555,0.449,0.446,80,101,0.792,22,173,195,519,111,7,214,102,959
2001-2002,Jerome Williams\willije01,PF,28,TOR,68,32,1641,190,388,0.49,0,0,,190,388,0.49,0.49,138,204,0.676,165,221,386,75,78,25,68,153,518
2001-2002,Monty Williams\willimo01,SF,30,ORL,68,19,1284,198,362,0.547,0,4,0,198,358,0.553,0.547,88,134,0.657,80,155,235,96,49,17,86,134,484
2001-2002,Scott Williams\willisc01,PF,33,DEN,41,16,737,86,217,0.396,0,2,0,86,215,0.4,0.396,30,41,0.732,82,127,209,13,17,33,35,98,202
2001-2002,Shammond Williams\willish01,SG,26,SEA,50,2,603,81,193,0.42,28,75,0.373,53,118,0.449,0.492,31,39,0.795,16,47,63,83,21,2,35,35,221
2001-2002,Walt Williams\williwa02,SF,31,HOU,48,25,1117,166,396,0.419,78,183,0.426,88,213,0.413,0.518,40,51,0.784,37,125,162,69,18,10,53,106,450
2001-2002,Corliss Williamson\willico02,SF,28,DET,78,7,1701,411,806,0.51,1,5,0.2,410,801,0.512,0.511,240,298,0.805,117,202,319,94,49,26,137,226,1063
2001-2002,Kevin Willis\willike02,PF,39,HOU,52,5,865,125,284,0.44,0,1,0,125,283,0.442,0.44,65,87,0.747,105,194,299,14,25,23,41,98,315
2001-2002,Loren Woods\woodslo01,C,23,MIN,60,0,516,33,96,0.344,0,2,0,33,94,0.351,0.344,44,60,0.733,46,76,122,22,17,34,36,60,110
2001-2002,Metta World Peace\artesro01,SF,22,TOT,55,50,1642,269,636,0.423,53,170,0.312,216,466,0.464,0.465,136,204,0.667,73,198,271,127,141,39,118,217,727
2001-2002,Metta World Peace\artesro01,SF,22,CHI,27,26,823,152,351,0.433,36,91,0.396,116,260,0.446,0.484,81,129,0.628,40,91,131,77,75,23,69,108,421
2001-2002,Metta World Peace\artesro01,SF,22,IND,28,24,819,117,285,0.411,17,79,0.215,100,206,0.485,0.44,55,75,0.733,33,107,140,50,66,16,49,109,306
2001-2002,Lorenzen Wright\wrighlo02,C,26,MEM,43,33,1251,223,486,0.459,0,2,0,223,484,0.461,0.459,70,123,0.569,130,275,405,44,30,23,72,126,516
2001-2002,Wang Zhizhi\zhizhwa01,C,24,DAL,55,0,600,109,248,0.44,48,116,0.414,61,132,0.462,0.536,42,57,0.737,19,92,111,22,11,18,25,84,308Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-2003,Tariq Abdul-Wahad\abdulta01,SG,28,DAL,14,0,204,27,58,0.466,0,1,0,27,57,0.474,0.466,3,6,0.5,14,26,40,21,6,3,7,26,57
2002-2003,Shareef Abdur-Rahim\abdursh01,PF,26,ATL,81,81,3087,566,1183,0.478,21,60,0.35,545,1123,0.485,0.487,455,541,0.841,175,502,677,242,87,38,212,240,1608
2002-2003,Courtney Alexander\alexaco02,PG,25,NOH,66,7,1360,193,505,0.382,19,57,0.333,174,448,0.388,0.401,118,146,0.808,39,79,118,79,31,6,68,125,523
2002-2003,Malik Allen\allenma01,PF,24,MIA,80,73,2318,335,790,0.424,0,4,0,335,786,0.426,0.424,97,121,0.802,134,291,425,54,37,78,128,234,767
2002-2003,Ray Allen\allenra02,SG,27,TOT,76,75,2880,598,1363,0.439,201,533,0.377,397,830,0.478,0.512,316,345,0.916,94,287,381,334,103,14,198,220,1713
2002-2003,Ray Allen\allenra02,SG,27,MIL,47,46,1683,351,803,0.437,123,311,0.395,228,492,0.463,0.514,178,195,0.913,45,173,218,164,57,11,117,149,1003
2002-2003,Ray Allen\allenra02,SG,27,SEA,29,29,1197,247,560,0.441,78,222,0.351,169,338,0.5,0.511,138,150,0.92,49,114,163,170,46,3,81,71,710
2002-2003,Rafer Alston\alstora01,PG,26,TOR,47,4,980,139,335,0.415,51,130,0.392,88,205,0.429,0.491,37,54,0.685,21,86,107,192,38,15,86,120,366
2002-2003,John Amaechi\amaecjo01,C,32,UTA,50,1,474,37,118,0.314,0,0,,37,118,0.314,0.314,25,52,0.481,26,51,77,21,14,7,34,50,99
2002-2003,Chris Andersen\anderch01,C,24,DEN,59,3,907,114,285,0.4,0,1,0,114,284,0.401,0.4,77,140,0.55,109,165,274,32,30,60,60,90,305
2002-2003,Derek Anderson\anderde01,PG,28,POR,76,76,2556,355,832,0.427,116,331,0.35,239,501,0.477,0.496,231,269,0.859,53,211,264,325,90,16,128,141,1057
2002-2003,Kenny Anderson\anderke01,PG,32,TOT,61,2,1135,163,382,0.427,1,7,0.143,162,375,0.432,0.428,45,57,0.789,31,101,132,198,58,5,75,106,372
2002-2003,Kenny Anderson\anderke01,PG,32,SEA,38,1,689,102,232,0.44,0,5,0,102,227,0.449,0.44,29,35,0.829,17,70,87,121,40,1,33,63,233
2002-2003,Kenny Anderson\anderke01,PG,32,NOH,23,1,446,61,150,0.407,1,2,0.5,60,148,0.405,0.41,16,22,0.727,14,31,45,77,18,4,42,43,139
2002-2003,Shandon Anderson\andersh01,SF,29,NYK,82,9,1731,248,537,0.462,52,140,0.371,196,397,0.494,0.51,139,190,0.732,64,190,254,87,73,20,114,177,687
2002-2003,Robert Archibald\archiro01,PF,22,MEM,12,0,72,6,20,0.3,0,0,,6,20,0.3,0.3,7,18,0.389,6,11,17,3,0,3,7,9,19
2002-2003,Gilbert Arenas\arenagi01,PG,21,GSW,82,82,2866,509,1180,0.431,109,313,0.348,400,867,0.461,0.478,370,468,0.791,97,289,386,514,124,17,290,260,1497
2002-2003,Brandon Armstrong\armstbr01,SG,22,NJN,17,0,69,9,27,0.333,1,6,0.167,8,21,0.381,0.352,5,6,0.833,0,4,4,2,3,1,5,8,24
2002-2003,Darrell Armstrong\armstda01,PG,34,ORL,82,23,2350,263,643,0.409,78,232,0.336,185,411,0.45,0.47,165,188,0.878,91,204,295,323,135,13,160,167,769
2002-2003,Carlos Arroyo\arroyca01,PG,23,UTA,44,0,287,50,109,0.459,3,7,0.429,47,102,0.461,0.472,18,22,0.818,11,15,26,53,12,1,30,28,121
2002-2003,Chucky Atkins\atkinch01,PG,28,DET,65,7,1398,168,465,0.361,86,242,0.355,82,223,0.368,0.454,40,49,0.816,21,75,96,175,27,4,77,108,462
2002-2003,Stacey Augmon\augmost01,SG,34,NOH,70,3,862,79,192,0.411,0,7,0,79,185,0.427,0.411,54,72,0.75,26,93,119,69,27,9,40,80,212
2002-2003,Dalibor Bagaric\bagarda01,C,22,CHI,10,0,76,8,26,0.308,0,0,,8,26,0.308,0.308,3,4,0.75,7,13,20,4,3,3,5,11,19
2002-2003,Vin Baker\bakervi01,C,31,BOS,52,9,942,99,207,0.478,0,4,0,99,203,0.488,0.478,72,107,0.673,90,108,198,29,22,30,61,146,270
2002-2003,Brent Barry\barrybr01,SG,31,SEA,75,68,2480,264,577,0.458,118,293,0.403,146,284,0.514,0.56,128,161,0.795,48,253,301,384,113,15,142,199,774
2002-2003,Jon Barry\barryjo01,SG,33,DET,80,0,1473,191,424,0.45,87,214,0.407,104,210,0.495,0.553,86,100,0.86,33,147,180,206,63,14,81,104,555
2002-2003,Maceo Baston\bastoma01,PF,27,TOR,16,0,106,15,25,0.6,0,0,,15,25,0.6,0.6,10,12,0.833,4,19,23,0,4,11,6,16,40
2002-2003,Mengke Bateer\bateeme01,C,27,SAS,12,0,46,4,17,0.235,1,3,0.333,3,14,0.214,0.265,0,2,0,2,8,10,4,0,0,6,14,9
2002-2003,Mike Batiste\batismi01,PF,25,MEM,75,2,1248,197,467,0.422,18,81,0.222,179,386,0.464,0.441,69,88,0.784,82,175,257,52,42,16,69,120,481
2002-2003,Tony Battie\battito01,C,26,BOS,67,62,1683,199,369,0.539,1,5,0.2,198,364,0.544,0.541,88,118,0.746,148,285,433,49,33,81,48,197,487
2002-2003,Shane Battier\battish01,SF,24,MEM,78,47,2383,275,569,0.483,86,216,0.398,189,353,0.535,0.559,120,145,0.828,128,217,345,105,102,88,68,207,756
2002-2003,Lonny Baxter\baxtelo01,C,24,CHI,55,0,682,96,206,0.466,0,2,0,96,204,0.471,0.466,70,103,0.68,65,100,165,16,9,22,46,135,262
2002-2003,Raja Bell\bellra01,SG,26,DAL,75,32,1173,93,211,0.441,21,51,0.412,72,160,0.45,0.491,23,34,0.676,47,98,145,57,52,8,43,134,230
2002-2003,Jonathan Bender\bendejo01,SF,22,IND,46,2,819,112,254,0.441,19,53,0.358,93,201,0.463,0.478,60,84,0.714,42,91,133,42,8,56,42,86,303
2002-2003,Corey Benjamin\benjaco01,SG,24,ATL,9,0,152,13,43,0.302,2,13,0.154,11,30,0.367,0.326,12,16,0.75,10,21,31,10,1,2,6,20,40
2002-2003,Travis Best\besttr01,PG,30,MIA,72,52,1807,231,583,0.396,36,109,0.33,195,474,0.411,0.427,105,123,0.854,26,121,147,255,44,7,106,174,603
2002-2003,Mike Bibby\bibbymi01,PG,24,SAC,55,55,1835,329,700,0.47,56,137,0.409,273,563,0.485,0.51,161,187,0.861,34,113,147,285,72,8,127,93,875
2002-2003,Chauncey Billups\billuch01,PG,26,DET,74,74,2327,366,870,0.421,149,380,0.392,217,490,0.443,0.506,318,362,0.878,38,235,273,287,63,15,134,136,1199
2002-2003,Corie Blount\blounco01,C,34,CHI,50,3,836,65,134,0.485,0,0,,65,134,0.485,0.485,20,35,0.571,68,137,205,50,33,19,43,121,150
2002-2003,Mark Blount\blounma01,C,27,TOT,81,31,1403,150,347,0.432,0,0,,150,347,0.432,0.432,101,139,0.727,111,197,308,56,42,68,103,187,401
2002-2003,Mark Blount\blounma01,C,27,DEN,54,24,885,105,267,0.393,0,0,,105,267,0.393,0.393,71,99,0.717,62,121,183,35,22,51,70,112,281
2002-2003,Mark Blount\blounma01,C,27,BOS,27,7,518,45,80,0.563,0,0,,45,80,0.563,0.563,30,40,0.75,49,76,125,21,20,17,33,75,120
2002-2003,Calvin Booth\boothca01,C,26,SEA,47,0,575,52,119,0.437,0,2,0,52,117,0.444,0.437,34,47,0.723,32,77,109,12,11,33,22,74,138
2002-2003,Carlos Boozer\boozeca01,PF,21,CLE,81,54,2049,331,618,0.536,0,1,0,331,617,0.536,0.536,148,192,0.771,202,407,609,106,59,50,103,224,810
2002-2003,Ruben Boumtje-Boumtje\boumtru01,C,24,POR,2,0,5,0,1,0,0,0,,0,1,0,0,0,0,,1,0,1,1,1,0,0,0,0
2002-2003,Bruce Bowen\bowenbr01,SF,31,SAS,82,82,2566,223,479,0.466,101,229,0.441,122,250,0.488,0.571,36,89,0.404,59,180,239,113,66,42,72,195,583
2002-2003,Ryan Bowen\bowenry01,SG,27,DEN,62,31,996,97,197,0.492,2,7,0.286,95,190,0.5,0.497,27,41,0.659,78,79,157,54,65,29,43,82,223
2002-2003,Earl Boykins\boykiea01,PG,26,GSW,68,0,1321,199,464,0.429,29,77,0.377,170,387,0.439,0.46,173,200,0.865,35,53,88,221,38,4,73,75,600
